network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2a05:dfc7:1a:20::/59,2658434,2635167,,0,0
2a05:dfc7:1a:40::/58,2658434,2635167,,0,0
2a05:dfc7:1a:80::/57,2658434,2635167,,0,0
2a05:dfc7:1a:100::/56,2658434,2635167,,0,0
2a05:dfc7:1a:200::/55,2658434,2635167,,0,0
2a05:dfc7:1a:400::/54,2658434,2635167,,0,0
2a05:dfc7:1a:800::/53,2658434,2635167,,0,0
2a05:dfc7:1a:1000::/52,2658434,2635167,,0,0
2a05:dfc7:1a:2000::/51,2658434,2635167,,0,0
2a05:dfc7:1a:4000::/50,2658434,2635167,,0,0
2a05:dfc7:1a:8000::/49,2658434,2635167,,0,0
2a05:dfc7:1b::/48,2658434,2635167,,0,0
2a05:dfc7:1c::/46,2658434,2635167,,0,0
2a05:dfc7:20::/44,2635167,2635167,,0,0
2a05:dfc7:30::/48,6252001,2635167,,0,0
2a05:dfc7:31::/48,2635167,2635167,,0,0
2a05:dfc7:32::/47,2635167,2635167,,0,0
2a05:dfc7:34::/46,2635167,2635167,,0,0
2a05:dfc7:38::/45,2635167,2635167,,0,0
2a05:dfc7:40::/48,630336,2635167,,0,0
2a05:dfc7:41::/48,2635167,2635167,,0,0
2a05:dfc7:42::/47,2635167,2635167,,0,0
2a05:dfc7:44::/46,2635167,2635167,,0,0
2a05:dfc7:48::/45,2635167,2635167,,0,0
2a05:dfc7:50::/44,2635167,2635167,,0,0
2a05:dfc7:60::/43,2635167,2635167,,0,0
2a05:dfc7:80::/41,2635167,2635167,,0,0
2a05:dfc7:100::/40,2635167,2635167,,0,0
2a05:dfc7:200::/39,2635167,2635167,,0,0
2a05:dfc7:400::/38,2635167,2635167,,0,0
2a05:dfc7:800::/37,2635167,2635167,,0,0
2a05:dfc7:1000::/36,2635167,2635167,,0,0
2a05:dfc7:2000::/35,2635167,2635167,,0,0
2a05:dfc7:4000::/36,2635167,2635167,,0,0
2a05:dfc7:5000::/39,2635167,2635167,,0,0
2a05:dfc7:5200::/40,2635167,2635167,,0,0
2a05:dfc7:5300::/42,2635167,2635167,,0,0
2a05:dfc7:5340::/44,2635167,2635167,,0,0
2a05:dfc7:5350::/47,2635167,2635167,,0,0
2a05:dfc7:5352::/48,2635167,2635167,,0,0
2a05:dfc7:5353::/48,6697173,2635167,,0,0
2a05:dfc7:5354::/46,2635167,2635167,,0,0
